Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,Loss Spread,Loss Ratio,Acc Spread,Acc Ratio
100,1.3592,1.2895050048828125,0.389375,0.85625,4.75e-05,0.013404825737265416,0.06969499511718746,1.0540478670910791,-0.46687499999999993,0.4547445255474453
200,0.7814,0.36776119470596313,0.825,0.8796875,4.5e-05,0.02680965147453083,0.41363880529403685,2.1247483727171224,-0.0546875,0.9378330373001776
300,0.3761,0.3535868227481842,0.8741071428571429,0.8859375,4.25e-05,0.040214477211796246,0.022513177251815786,1.0636708604603433,-0.011830357142857184,0.9866465104560342
400,0.2921,0.3497176170349121,0.9013392857142857,0.89375,4e-05,0.05361930294906166,-0.05761761703491208,0.8352453115647298,0.007589285714285632,1.0084915084915085
500,0.3138,0.32967409491539,0.8933035714285714,0.9015625,3.7500000000000003e-05,0.06702412868632708,-0.01587409491538999,0.951849128699469,-0.008258928571428625,0.9908393166625402
600,0.3024,0.32896941900253296,0.8982142857142857,0.9,3.5e-05,0.08042895442359249,-0.026569419002532957,0.9192343802560918,-0.0017857142857142794,0.998015873015873
700,0.3018,0.3279576897621155,0.903125,0.9015625,3.2500000000000004e-05,0.0938337801608579,-0.026157689762115466,0.9202406573204946,0.0015624999999999112,1.001733102253033
800,0.3193,0.31685495376586914,0.8977678571428571,0.9046875,3e-05,0.10723860589812333,0.002445046234130832,1.007716610408236,-0.00691964285714286,0.9923513446829509
900,0.2965,0.3117774724960327,0.8995535714285714,0.9046875,2.7500000000000004e-05,0.12064343163538874,-0.015277472496032729,0.950998792909173,-0.005133928571428581,0.994325191216383
1000,0.2872,0.30783137679100037,0.9053571428571429,0.90625,2.5e-05,0.13404825737265416,-0.020631376791000355,0.9329783175254163,-0.0008928571428571397,0.9990147783251232
1100,0.2959,0.3035324215888977,0.9017857142857143,0.9046875,2.25e-05,0.14745308310991956,-0.007632421588897709,0.9748546743410659,-0.0029017857142856762,0.996792499383173
1200,0.2973,0.3058471977710724,0.9040178571428571,0.903125,2e-05,0.16085790884718498,-0.008547197771072379,0.9720540262151757,0.0008928571428571397,1.0009886307464162
1300,0.3204,0.3056536316871643,0.8991071428571429,0.9015625,1.75e-05,0.1742627345844504,0.014746368312835711,1.0482453561288896,-0.002455357142857162,0.9972765536023768
1400,0.2811,0.30250006914138794,0.9026785714285714,0.90625,1.5e-05,0.1876675603217158,-0.021400069141387923,0.9292559859502526,-0.0035714285714285587,0.9960591133004926
1500,0.2945,0.3062227964401245,0.8995535714285714,0.9046875,1.25e-05,0.20107238605898123,-0.011722796440124528,0.9617180805073842,-0.005133928571428581,0.994325191216383
1600,0.317,0.3021486699581146,0.8977678571428571,0.9046875,1e-05,0.21447721179624665,0.01485133004188538,1.049152392575298,-0.00691964285714286,0.9923513446829509
1700,0.2626,0.30914098024368286,0.9138392857142857,0.90625,7.5e-06,0.22788203753351208,-0.04654098024368286,0.8494506286193549,0.007589285714285743,1.0083743842364532
1800,0.2822,0.303924024105072,0.9044642857142857,0.909375,5e-06,0.24128686327077747,-0.021724024105072015,0.9285215304415632,-0.004910714285714324,0.9945999018163966
1900,0.2608,0.3016480803489685,0.909375,0.909375,2.5e-06,0.2546916890080429,-0.04084808034896853,0.8645836555574546,0.0,1.0
2000,0.3334,0.3011378049850464,0.8995535714285714,0.9109375,0.0,0.2680965147453083,0.03226219501495359,1.1071343234920492,-0.011383928571428559,0.9875030629747611
