loss,grad_norm,learning_rate,accuracy,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.3665,1.4493135213851929,4.75e-05,0.376875,0.013404825737265416,100,1.3377763032913208,0.7359375,6.885,92.955,1.452
1.3052,2.153879165649414,4.5e-05,0.5973214285714286,0.02680965147453083,200,1.253670573234558,0.8125,6.9174,92.521,1.446
1.167,2.484501600265503,4.25e-05,0.7776785714285714,0.040214477211796246,300,1.043075680732727,0.8640625,6.9113,92.602,1.447
0.8545,1.4883556365966797,4e-05,0.8691964285714285,0.05361930294906166,400,0.6391187906265259,0.875,6.9283,92.375,1.443
0.5521,1.7075313329696655,3.7500000000000003e-05,0.884375,0.06702412868632708,500,0.4005236029624939,0.890625,6.9014,92.735,1.449
0.4253,1.9760780334472656,3.5e-05,0.8879464285714286,0.08042895442359249,600,0.3467698097229004,0.8859375,6.9502,92.083,1.439
0.3794,1.024072289466858,3.2500000000000004e-05,0.8861607142857143,0.0938337801608579,700,0.3291394114494324,0.8953125,6.9179,92.513,1.446
0.3855,1.2097759246826172,3e-05,0.8772321428571429,0.10723860589812333,800,0.3185654580593109,0.8953125,6.9286,92.371,1.443
0.3551,3.228743076324463,2.7500000000000004e-05,0.890625,0.12064343163538874,900,0.31686848402023315,0.8984375,6.9289,92.367,1.443
0.3551,1.441247582435608,2.5e-05,0.8897321428571429,0.13404825737265416,1000,0.31212538480758667,0.8984375,6.9462,92.136,1.44
0.354,2.419978618621826,2.25e-05,0.8897321428571429,0.14745308310991956,1100,0.30965495109558105,0.9015625,6.8982,92.778,1.45
0.3484,1.9339796304702759,2e-05,0.8950892857142857,0.16085790884718498,1200,0.3099585771560669,0.9,6.9267,92.396,1.444
0.3721,1.8542455434799194,1.75e-05,0.8857142857142857,0.1742627345844504,1300,0.3107024133205414,0.9015625,6.9399,92.22,1.441
0.3315,2.0416674613952637,1.5e-05,0.8964285714285715,0.1876675603217158,1400,0.31156569719314575,0.9015625,6.9032,92.711,1.449
0.328,3.396138906478882,1.25e-05,0.8982142857142857,0.20107238605898123,1500,0.31005483865737915,0.9015625,6.9173,92.522,1.446
0.3708,2.7268712520599365,1e-05,0.890625,0.21447721179624665,1600,0.30701708793640137,0.9046875,6.9147,92.557,1.446
0.3167,0.927220344543457,7.5e-06,0.9017857142857143,0.22788203753351208,1700,0.3081042170524597,0.90625,6.9088,92.635,1.447
0.3296,2.5332183837890625,5e-06,0.8986607142857143,0.24128686327077747,1800,0.308817058801651,0.9078125,6.9326,92.318,1.442
0.3211,1.754641056060791,2.5e-06,0.9008928571428572,0.2546916890080429,1900,0.3085407614707947,0.9078125,6.9382,92.244,1.441
0.3742,0.4199407696723938,0.0,0.8892857142857142,0.2680965147453083,2000,0.3083955645561218,0.9078125,6.948,92.113,1.439
