accuracy,epoch,grad_norm,learning_rate,loss,step,eval_accuracy,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.3575,0.013404825737265416,1.301709532737732,4.5e-05,1.37,100,0.665625,1.3463752269744873,6.7881,94.282,1.473
0.5339285714285714,0.02680965147453083,2.2025809288024902,4e-05,1.3293,200,0.771875,1.3063108921051025,6.9957,91.485,1.429
0.7071428571428572,0.040214477211796246,2.437303304672241,3.5e-05,1.2792,300,0.8265625,1.2559009790420532,6.8721,93.13,1.455
0.7816964285714286,0.05361930294906166,1.8619194030761719,3e-05,1.218,400,0.815625,1.182472825050354,6.8382,93.592,1.462
0.8102678571428571,0.06702412868632708,2.065047025680542,2.5e-05,1.1305,500,0.8796875,1.085187315940857,6.8348,93.639,1.463
0.8602678571428571,0.08042895442359249,2.5529820919036865,2e-05,1.0242,600,0.85,0.9858566522598267,6.7927,94.219,1.472
0.8571428571428571,0.0938337801608579,2.019953489303589,1.5e-05,0.9417,700,0.8734375,0.8925071954727173,6.7853,94.322,1.474
0.8553571428571428,0.10723860589812333,1.80783212184906,1e-05,0.8802,800,0.8703125,0.8316692113876343,6.8405,93.56,1.462
0.8700892857142857,0.12064343163538874,1.9789072275161743,5e-06,0.8147,900,0.8765625,0.7906664609909058,6.7821,94.366,1.474
0.8758928571428571,0.13404825737265416,1.5574853420257568,0.0,0.7961,1000,0.8734375,0.7773932218551636,6.8051,94.048,1.469
0.866875,0.14745308310991956,2.2137858867645264,2.25e-05,0.7622,1100,0.875,0.6639763712882996,6.7449,94.887,1.483
0.878125,0.16085790884718498,1.839638352394104,2e-05,0.6537,1200,0.8734375,0.5684200525283813,6.9128,92.581,1.447
0.8674107142857143,0.1742627345844504,2.131683111190796,1.75e-05,0.5941,1300,0.875,0.49451810121536255,6.8616,93.273,1.457
0.8799107142857143,0.1876675603217158,1.7266780138015747,1.5e-05,0.5127,1400,0.8765625,0.44433432817459106,6.8305,93.697,1.464
0.8732142857142857,0.20107238605898123,2.8308775424957275,1.25e-05,0.4814,1500,0.8828125,0.41059359908103943,6.8189,93.857,1.467
0.8785714285714286,0.21447721179624665,1.9043843746185303,1e-05,0.4836,1600,0.88125,0.39195966720581055,6.7791,94.408,1.475
0.8888392857142857,0.22788203753351208,2.0221097469329834,7.5e-06,0.4286,1700,0.8796875,0.38064759969711304,6.7689,94.55,1.477
0.8848214285714285,0.24128686327077747,1.2215198278427124,5e-06,0.4336,1800,0.8828125,0.37352117896080017,6.7714,94.516,1.477
0.8848214285714285,0.2546916890080429,2.3400461673736572,2.5e-06,0.4242,1900,0.8828125,0.369015634059906,6.7549,94.747,1.48
0.8736607142857142,0.2680965147453083,0.9122096300125122,0.0,0.4531,2000,0.88125,0.36766281723976135,6.8122,93.95,1.468
0.871875,0.28150134048257375,0.8427442312240601,1.5e-05,0.4326,2100,0.8734375,0.3558749556541443,6.834,93.65,1.463
0.8794642857142857,0.2949061662198391,1.327422857284546,1.3333333333333333e-05,0.4039,2200,0.88125,0.346361368894577,6.8852,92.953,1.452
0.8870535714285714,0.30831099195710454,0.8490744233131409,1.1666666666666668e-05,0.3729,2300,0.88125,0.34025582671165466,6.8961,92.807,1.45
0.88125,0.32171581769436997,1.3760472536087036,1e-05,0.4047,2400,0.88125,0.3352341949939728,6.8194,93.85,1.466
0.8857142857142857,0.3351206434316354,2.3584392070770264,8.333333333333334e-06,0.3677,2500,0.88125,0.3337670564651489,6.8239,93.789,1.465
0.8928571428571429,0.3485254691689008,2.1137192249298096,6.666666666666667e-06,0.3715,2600,0.88125,0.33114975690841675,6.7841,94.338,1.474
0.8924107142857143,0.36193029490616624,3.77227520942688,5e-06,0.3634,2700,0.88125,0.329963356256485,6.8031,94.074,1.47
0.8870535714285714,0.3753351206434316,1.163865566253662,3.3333333333333333e-06,0.3394,2800,0.88125,0.3288792669773102,6.7624,94.64,1.479
0.8910714285714286,0.38873994638069703,1.9210041761398315,1.6666666666666667e-06,0.3678,2900,0.8828125,0.3286375403404236,6.7993,94.127,1.471
0.8870535714285714,0.40214477211796246,0.7375348210334778,0.0,0.3584,3000,0.884375,0.32846394181251526,6.7864,94.307,1.474
