loss,grad_norm,learning_rate,accuracy,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.3642,1.3863167762756348,4.8333333333333334e-05,0.380625,0.013404825737265416,100,1.3247274160385132,0.7609375,7.1318,89.739,1.402
1.1235,3.242034912109375,4.666666666666667e-05,0.7361607142857143,0.02680965147453083,200,0.5574159622192383,0.8890625,7.2164,88.687,1.386
0.4291,3.642101287841797,4.5e-05,0.8736607142857142,0.040214477211796246,300,0.3535497188568115,0.890625,7.1957,88.942,1.39
0.3035,3.232948064804077,4.3333333333333334e-05,0.9,0.05361930294906166,400,0.35046857595443726,0.8890625,7.2084,88.785,1.387
0.3234,6.250831127166748,4.166666666666667e-05,0.8888392857142857,0.06702412868632708,500,0.328660249710083,0.9046875,7.1924,88.983,1.39
0.314,4.757366180419922,4e-05,0.8995535714285714,0.08042895442359249,600,0.32394108176231384,0.9015625,7.2189,88.656,1.385
0.3104,2.451078176498413,3.8333333333333334e-05,0.8991071428571429,0.0938337801608579,700,0.328202486038208,0.903125,7.1944,88.958,1.39
0.3342,2.993478775024414,3.6666666666666666e-05,0.8875,0.10723860589812333,800,0.31282222270965576,0.90625,7.196,88.939,1.39
0.3049,6.067870616912842,3.5e-05,0.9004464285714285,0.12064343163538874,900,0.3110365867614746,0.903125,7.1808,89.127,1.393
0.2978,4.869589328765869,3.3333333333333335e-05,0.9017857142857143,0.13404825737265416,1000,0.30904585123062134,0.903125,7.1941,88.962,1.39
0.3106,5.723232269287109,3.1666666666666666e-05,0.896875,0.14745308310991956,1100,0.3060656487941742,0.9109375,7.2119,88.742,1.387
0.3079,6.681064128875732,3e-05,0.9008928571428572,0.16085790884718498,1200,0.30911606550216675,0.909375,7.2482,88.298,1.38
0.3346,5.041385650634766,2.8333333333333335e-05,0.8941964285714286,0.1742627345844504,1300,0.3123057782649994,0.9078125,7.2001,88.888,1.389
0.2895,6.649380207061768,2.6666666666666667e-05,0.9053571428571429,0.1876675603217158,1400,0.3063364028930664,0.9078125,7.2578,88.181,1.378
0.309,9.396256446838379,2.5e-05,0.8964285714285715,0.20107238605898123,1500,0.3106318712234497,0.8984375,7.2352,88.457,1.382
0.3243,3.050230026245117,2.3333333333333336e-05,0.896875,0.21447721179624665,1600,0.3110339045524597,0.903125,7.1955,88.944,1.39
0.2777,1.738369107246399,2.1666666666666667e-05,0.9089285714285714,0.22788203753351208,1700,0.3102690875530243,0.90625,7.2157,88.696,1.386
0.2908,7.846512317657471,2e-05,0.9040178571428571,0.24128686327077747,1800,0.30844932794570923,0.9109375,7.1743,89.207,1.394
0.2656,3.8217175006866455,1.8333333333333333e-05,0.9098214285714286,0.2546916890080429,1900,0.30270951986312866,0.9109375,7.1984,88.908,1.389
0.3359,0.5302814245223999,1.6666666666666667e-05,0.8995535714285714,0.2680965147453083,2000,0.30309897661209106,0.9046875,7.2161,88.691,1.386
0.3076,3.6541552543640137,1.5e-05,0.8973214285714286,0.28150134048257375,2100,0.30147236585617065,0.9078125,7.2379,88.423,1.382
0.3011,4.7140889167785645,1.3333333333333333e-05,0.8986607142857143,0.2949061662198391,2200,0.3001641035079956,0.9046875,7.2506,88.269,1.379
0.2769,5.299505710601807,1.1666666666666668e-05,0.903125,0.30831099195710454,2300,0.300358384847641,0.9015625,7.2124,88.736,1.387
0.3059,3.184206247329712,1e-05,0.8982142857142857,0.32171581769436997,2400,0.30277499556541443,0.9046875,7.1987,88.905,1.389
0.2805,7.139159679412842,8.333333333333334e-06,0.9,0.3351206434316354,2500,0.29974040389060974,0.9078125,7.2103,88.762,1.387
0.2672,4.645751953125,6.666666666666667e-06,0.9107142857142857,0.3485254691689008,2600,0.2993026375770569,0.9078125,7.2143,88.713,1.386
0.2573,7.17183780670166,5e-06,0.9053571428571429,0.36193029490616624,2700,0.3026901185512543,0.9109375,7.1764,89.182,1.393
0.2714,7.078156471252441,3.3333333333333333e-06,0.9084821428571429,0.3753351206434316,2800,0.2985968589782715,0.90625,7.2152,88.702,1.386
0.2736,3.957442283630371,1.6666666666666667e-06,0.9080357142857143,0.38873994638069703,2900,0.3002299666404724,0.90625,7.1958,88.941,1.39
0.2838,3.126959800720215,0.0,0.9044642857142857,0.40214477211796246,3000,0.2998836040496826,0.90625,7.2539,88.228,1.379
