loss,grad_norm,learning_rate,accuracy,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.3745,1.3099830150604248,4.75e-05,0.330625,0.013404825737265416,100,1.3437803983688354,0.6640625,6.8016,94.096,1.47
1.3056,2.2957584857940674,4.5e-05,0.5790178571428571,0.02680965147453083,200,1.2442214488983154,0.828125,6.8608,93.283,1.458
1.1147,2.296543598175049,4.25e-05,0.8053571428571429,0.040214477211796246,300,0.9329643249511719,0.8609375,6.9007,92.745,1.449
0.7134,1.2861735820770264,4e-05,0.8714285714285714,0.05361930294906166,400,0.486278235912323,0.8796875,6.913,92.58,1.447
0.4516,2.1891157627105713,3.7500000000000003e-05,0.8830357142857143,0.06702412868632708,500,0.34820419549942017,0.8859375,6.922,92.459,1.445
0.3888,1.9196175336837769,3.5e-05,0.8848214285714285,0.08042895442359249,600,0.33151960372924805,0.8875,6.8985,92.774,1.45
0.3549,0.9872975945472717,3.2500000000000004e-05,0.8879464285714286,0.0938337801608579,700,0.3225654661655426,0.8953125,6.904,92.7,1.448
0.3743,1.4382630586624146,3e-05,0.8772321428571429,0.10723860589812333,800,0.3123164176940918,0.9,6.8879,92.917,1.452
0.3469,3.562026023864746,2.7500000000000004e-05,0.8924107142857143,0.12064343163538874,900,0.3140251934528351,0.9015625,6.8996,92.76,1.449
0.3434,1.6885082721710205,2.5e-05,0.8888392857142857,0.13404825737265416,1000,0.3102889060974121,0.9,6.9179,92.514,1.446
0.3414,2.121865749359131,2.25e-05,0.8915178571428571,0.14745308310991956,1100,0.3062824606895447,0.903125,6.9001,92.752,1.449
0.3397,2.1181700229644775,2e-05,0.8946428571428572,0.16085790884718498,1200,0.3070257604122162,0.9015625,6.8917,92.865,1.451
0.365,2.016488552093506,1.75e-05,0.884375,0.1742627345844504,1300,0.3077346086502075,0.90625,6.9231,92.444,1.444
0.3206,2.229038715362549,1.5e-05,0.9008928571428572,0.1876675603217158,1400,0.30725017189979553,0.90625,6.9433,92.176,1.44
0.3227,3.628830909729004,1.25e-05,0.8977678571428571,0.20107238605898123,1500,0.3067246377468109,0.9078125,6.9173,92.521,1.446
0.3636,3.1342899799346924,1e-05,0.8897321428571429,0.21447721179624665,1600,0.3036611080169678,0.903125,6.9206,92.478,1.445
0.3091,0.9533330202102661,7.5e-06,0.9044642857142857,0.22788203753351208,1700,0.30498138070106506,0.909375,6.8922,92.859,1.451
0.3228,3.115504026412964,5e-06,0.9040178571428571,0.24128686327077747,1800,0.3057595491409302,0.909375,6.9041,92.699,1.448
0.3102,2.0038235187530518,2.5e-06,0.903125,0.2546916890080429,1900,0.30531182885169983,0.909375,6.9036,92.705,1.449
0.3702,0.3814787268638611,0.0,0.8870535714285714,0.2680965147453083,2000,0.3051837086677551,0.9109375,6.8971,92.793,1.45
