accuracy,epoch,grad_norm,learning_rate,loss,step,eval_accuracy,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.365625,0.013404825737265416,1.4151707887649536,4.5e-05,1.3691,100,0.665625,1.3382501602172852,7.0208,91.158,1.424
0.6375,0.02680965147453083,2.2903199195861816,4e-05,1.2785,200,0.8703125,1.1459617614746094,7.0418,90.886,1.42
0.859375,0.040214477211796246,2.9462952613830566,3.5e-05,0.7487,300,0.8765625,0.3863806128501892,7.0982,90.164,1.409
0.8933035714285714,0.05361930294906166,2.465096950531006,3e-05,0.3358,400,0.884375,0.35679346323013306,7.0972,90.176,1.409
0.8924107142857143,0.06702412868632708,3.755730390548706,2.5e-05,0.3408,500,0.8921875,0.3435443043708801,7.0596,90.656,1.417
0.8901785714285714,0.08042895442359249,3.094735860824585,2e-05,0.3256,600,0.8828125,0.3465242385864258,7.0707,90.514,1.414
0.8892857142857142,0.0938337801608579,4.111271381378174,1.5e-05,0.3203,700,0.890625,0.35310930013656616,7.0633,90.609,1.416
0.8816964285714286,0.10723860589812333,2.6601905822753906,1e-05,0.3558,800,0.9,0.3303925395011902,7.1181,89.911,1.405
0.8941964285714286,0.12064343163538874,5.783173084259033,5e-06,0.3186,900,0.9,0.3341316282749176,7.0879,90.294,1.411
0.8955357142857143,0.13404825737265416,4.412679672241211,0.0,0.3168,1000,0.8984375,0.33257001638412476,7.0693,90.533,1.415
0.886875,0.14745308310991956,3.4597787857055664,2.25e-05,0.3276,1100,0.8984375,0.3270648717880249,7.0799,90.397,1.412
0.8986607142857143,0.16085790884718498,3.632888078689575,2e-05,0.3188,1200,0.9015625,0.33050423860549927,7.0946,90.209,1.41
0.8852678571428572,0.1742627345844504,3.14784574508667,1.75e-05,0.36,1300,0.903125,0.33115658164024353,7.0852,90.329,1.411
0.8950892857142857,0.1876675603217158,3.651761054992676,1.5e-05,0.309,1400,0.896875,0.32781609892845154,7.0721,90.497,1.414
0.8959821428571428,0.20107238605898123,9.18143081665039,1.25e-05,0.3191,1500,0.9015625,0.3287990093231201,7.0756,90.451,1.413
0.8941964285714286,0.21447721179624665,3.4573915004730225,1e-05,0.3459,1600,0.896875,0.3257233798503876,7.0991,90.152,1.409
0.903125,0.22788203753351208,1.9617685079574585,7.5e-06,0.2918,1700,0.9,0.33205732703208923,7.0983,90.163,1.409
0.8982142857142857,0.24128686327077747,6.888180732727051,5e-06,0.3109,1800,0.90625,0.3292659819126129,7.0735,90.479,1.414
0.903125,0.2546916890080429,3.2787864208221436,2.5e-06,0.2829,1900,0.9046875,0.3273007571697235,7.1658,89.313,1.396
0.8924107142857143,0.2680965147453083,0.5502283573150635,0.0,0.3555,2000,0.90625,0.32697731256484985,7.092,90.243,1.41
0.889375,0.28150134048257375,4.001051902770996,1.5e-05,0.3228,2100,0.9015625,0.32575497031211853,7.0993,90.149,1.409
0.8919642857142858,0.2949061662198391,4.7175116539001465,1.3333333333333333e-05,0.315,2200,0.8984375,0.3245061933994293,7.0963,90.187,1.409
0.9,0.30831099195710454,5.4006733894348145,1.1666666666666668e-05,0.2972,2300,0.896875,0.32387033104896545,7.1082,90.037,1.407
0.8910714285714286,0.32171581769436997,2.8566277027130127,1e-05,0.3268,2400,0.8984375,0.32545268535614014,7.0865,90.313,1.411
0.8955357142857143,0.3351206434316354,6.79381799697876,8.333333333333334e-06,0.2854,2500,0.903125,0.32417502999305725,7.1124,89.983,1.406
0.9035714285714286,0.3485254691689008,3.815922498703003,6.666666666666667e-06,0.2849,2600,0.9,0.32281047105789185,7.129,89.774,1.403
0.9004464285714285,0.36193029490616624,6.941161155700684,5e-06,0.2776,2700,0.9078125,0.3254086375236511,7.106,90.064,1.407
0.9040178571428571,0.3753351206434316,5.870477676391602,3.3333333333333333e-06,0.2914,2800,0.9,0.3223300874233246,7.1198,89.89,1.405
0.9,0.38873994638069703,3.725233316421509,1.6666666666666667e-06,0.2936,2900,0.9015625,0.32356271147727966,7.1191,89.9,1.405
0.896875,0.40214477211796246,2.356126070022583,0.0,0.3045,3000,0.903125,0.323311984539032,7.1161,89.937,1.405
