Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,Loss Spread,Loss Ratio,Acc Spread,Acc Ratio
100,1.3634,1.319008469581604,0.380625,0.734375,4.8333333333333334e-05,0.013404825737265416,0.04439153041839594,1.0336552277275954,-0.35375,0.5182978723404256
200,1.038,0.4590371549129486,0.7446428571428572,0.8625,4.666666666666667e-05,0.02680965147453083,0.5789628450870514,2.2612548655170306,-0.11785714285714288,0.8633540372670807
300,0.4027,0.3580423891544342,0.86875,0.884375,4.5e-05,0.040214477211796246,0.0446576108455658,1.1247271613593877,-0.015625,0.9823321554770318
400,0.2997,0.34903019666671753,0.8986607142857143,0.8890625,4.3333333333333334e-05,0.05361930294906166,-0.04933019666671751,0.8586649604022026,0.00959821428571428,1.0107958825006276
500,0.3199,0.33532896637916565,0.8946428571428572,0.8984375,4.166666666666667e-05,0.06702412868632708,-0.015428966379165632,0.9539885666730035,-0.003794642857142816,0.995776397515528
600,0.3088,0.3326078951358795,0.8941964285714286,0.9,4e-05,0.08042895442359249,-0.023807895135879498,0.9284205351585135,-0.0058035714285714635,0.9935515873015872
700,0.3083,0.3359754979610443,0.8986607142857143,0.8984375,3.8333333333333334e-05,0.0938337801608579,-0.027675497961044293,0.9176264396391989,0.00022321428571425717,1.0002484472049689
800,0.3382,0.3195241093635559,0.8879464285714286,0.9015625,3.6666666666666666e-05,0.10723860589812333,0.018675890636444092,1.0584490812716563,-0.013616071428571463,0.9848972517949988
900,0.3067,0.31575965881347656,0.8977678571428571,0.9046875,3.5e-05,0.12064343163538874,-0.00905965881347659,0.9713083715395441,-0.00691964285714286,0.9923513446829509
1000,0.2974,0.3123958706855774,0.9008928571428572,0.90625,3.3333333333333335e-05,0.13404825737265416,-0.014995870685577395,0.9519972186166616,-0.005357142857142838,0.994088669950739
1100,0.3004,0.3078458905220032,0.9013392857142857,0.909375,3.1666666666666666e-05,0.14745308310991956,-0.0074458905220031735,0.9758129286397897,-0.008035714285714368,0.9911634756995581
1200,0.3022,0.30971288681030273,0.9066964285714286,0.903125,3e-05,0.16085790884718498,-0.00751288681030271,0.9757424145708722,0.0035714285714286698,1.003954522985665
1300,0.3355,0.3147004246711731,0.8973214285714286,0.90625,2.8333333333333335e-05,0.1742627345844504,0.020799575328826925,1.0660932547217252,-0.008928571428571397,0.9901477832512315
1400,0.2922,0.3079407513141632,0.8995535714285714,0.903125,2.6666666666666667e-05,0.1876675603217158,-0.015740751314163193,0.9488838315585443,-0.0035714285714285587,0.9960454770143352
1500,0.2996,0.31709736585617065,0.8986607142857143,0.9046875,2.5e-05,0.20107238605898123,-0.017497365856170677,0.9448202106349027,-0.006026785714285721,0.993338267949667
1600,0.3267,0.30970340967178345,0.8986607142857143,0.9109375,2.3333333333333336e-05,0.21447721179624665,0.016996590328216543,1.0548802169993192,-0.012276785714285698,0.9865229110512129
1700,0.2746,0.3101003170013428,0.9116071428571428,0.9078125,2.1666666666666667e-05,0.22788203753351208,-0.03550031700134276,0.8855198945146868,0.003794642857142816,1.004179985247111
1800,0.2893,0.30620676279067993,0.9071428571428571,0.9109375,2e-05,0.24128686327077747,-0.01690676279067993,0.9447864487492158,-0.003794642857142816,0.9958343543249204
1900,0.2619,0.30505943298339844,0.9075892857142858,0.909375,1.8333333333333333e-05,0.2546916890080429,-0.043159432983398416,0.8585212312194025,-0.0017857142857142794,0.9980363279332352
2000,0.3322,0.30492502450942993,0.9013392857142857,0.90625,1.6666666666666667e-05,0.2680965147453083,0.027274975490570064,1.0894481374050904,-0.004910714285714324,0.9945812807881773
2100,0.3023,0.3034149706363678,0.8973214285714286,0.9109375,1.5e-05,0.28150134048257375,-0.0011149706363677847,0.9963252616242722,-0.013616071428571352,0.9850526831658908
2200,0.298,0.3018302917480469,0.8959821428571428,0.909375,1.3333333333333333e-05,0.2949061662198391,-0.003830291748046888,0.9873097835016367,-0.013392857142857206,0.9852724594992636
2300,0.2733,0.3054164946079254,0.9058035714285714,0.9015625,1.1666666666666668e-05,0.30831099195710454,-0.03211649460792543,0.8948436146215528,0.00424107142857133,1.0047041346868035
2400,0.3036,0.30695444345474243,0.8977678571428571,0.9,1e-05,0.32171581769436997,-0.0033544434547424506,0.9890718524319488,-0.0022321428571429047,0.9975198412698412
2500,0.2773,0.3030260503292084,0.8995535714285714,0.9078125,8.333333333333334e-06,0.3351206434316354,-0.025726050329208383,0.9151028424742377,-0.008258928571428625,0.9909023850504056
2600,0.2659,0.3019433617591858,0.9089285714285714,0.9125,6.666666666666667e-06,0.3485254691689008,-0.036043361759185766,0.8806287326563845,-0.0035714285714285587,0.9960861056751468
2700,0.261,0.30236923694610596,0.9071428571428571,0.9125,5e-06,0.36193029490616624,-0.04136923694610595,0.8631830494268187,-0.005357142857142838,0.9941291585127202
2800,0.2712,0.2993870973587036,0.9107142857142857,0.9140625,3.3333333333333333e-06,0.3753351206434316,-0.028187097358703617,0.905850660875569,-0.0033482142857143016,0.9963369963369964
2900,0.2713,0.30090197920799255,0.9084821428571429,0.9125,1.6666666666666667e-06,0.38873994638069703,-0.029601979207992568,0.901622517452666,-0.004017857142857073,0.9955968688845402
3000,0.2823,0.3005652129650116,0.9084821428571429,0.9125,0.0,0.40214477211796246,-0.0182652129650116,0.9392304492431803,-0.004017857142857073,0.9955968688845402
