Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,loss spread,loss ratio,Acc spread,Acc ratio
100,1.3073,0.904028296470642,0.473125,0.8703125,4.75e-05,0.0134048257372654,0.4032717035293579,1.446083054151894,0.3971875,1.8394980184940555
200,0.4674,0.3392836451530456,0.8727678571428571,0.8875,4.5e-05,0.0268096514745308,0.12811635484695438,1.37760840133972,0.01473214285714286,1.0168797953964195
300,0.3459,0.3362137675285339,0.8816964285714286,0.8890625,4.25e-05,0.0402144772117962,0.009686232471466105,1.0288097437016586,0.007366071428571375,1.0083544303797467
400,0.304,0.3249099850654602,0.8946428571428572,0.9,4e-05,0.0536193029490616,-0.020909985065460213,0.9356437597285677,0.005357142857142838,1.0059880239520957
500,0.3128,0.3184675872325897,0.896875,0.903125,3.75e-05,0.067024128686327,-0.005667587232589699,0.9822035665172719,0.006249999999999978,1.0069686411149825
600,0.2927,0.3162104189395904,0.9026785714285714,0.9015625,3.5e-05,0.0804289544235924,-0.023510418939590383,0.9256494488118626,-0.0011160714285713969,0.9987636003956479
700,0.3018,0.3064460158348083,0.9035714285714286,0.90625,3.2500000000000004e-05,0.0938337801608579,-0.004646015834808281,0.9848390398480079,0.002678571428571419,1.0029644268774704
800,0.3107,0.3075537383556366,0.896875,0.9015625,3e-05,0.1072386058981233,0.0031462616443633795,1.010229957409021,0.004687500000000067,1.005226480836237
900,0.2894,0.3089299201965332,0.9013392857142856,0.9015625,2.7500000000000004e-05,0.1206434316353887,-0.019529920196533213,0.9367820372202577,0.0002232142857144792,1.0002476473501736
1000,0.2878,0.3009007573127746,0.9013392857142856,0.9078125,2.5e-05,0.1340482573726541,-0.013100757312774602,0.956461534262086,0.006473214285714457,1.0071817731550274
1100,0.3073,0.2968330383300781,0.903125,0.9078125,2.25e-05,0.1474530831099195,0.010466961669921893,1.035262118155064,0.004687500000000067,1.005190311418685
1200,0.2943,0.2987318336963653,0.9013392857142856,0.909375,2e-05,0.1608579088471849,-0.004431833696365295,0.9851645081090693,0.00803571428571448,1.008915304606241
1300,0.3144,0.301112949848175,0.9035714285714286,0.9015625,1.75e-05,0.1742627345844504,0.01328705015182502,1.0441264653629958,-0.0020089285714285365,0.9977766798418972
1400,0.2842,0.2963185906410217,0.90625,0.90625,1.5e-05,0.1876675603217158,-0.012118590641021665,0.9591028338289349,0.0,1.0
1500,0.2959,0.2971268594264984,0.9053571428571427,0.9078125,1.25e-05,0.2010723860589812,-0.0012268594264984167,0.9958709238576867,0.002455357142857273,1.0027120315581854
1600,0.3136,0.294490098953247,0.9049107142857142,0.9046875,1e-05,0.2144772117962466,0.019109901046752975,1.0648914891015975,-0.00022321428571425717,0.9997533300444006
1700,0.2584,0.3031936287879944,0.9111607142857144,0.909375,7.5e-06,0.227882037533512,-0.044793628787994366,0.8522606528143244,-0.0017857142857143904,0.9980401763841253
1800,0.2795,0.2986721396446228,0.9066964285714286,0.90625,5e-06,0.2412868632707774,-0.019172139644622777,0.9358087444398567,-0.00044642857142862535,0.9995076317085179
1900,0.2614,0.2978726029396057,0.909375,0.90625,2.5e-06,0.2546916890080429,-0.03647260293960569,0.8775563694691297,-0.0031250000000000444,0.9965635738831614
2000,0.3221,0.2969064116477966,0.9022321428571428,0.90625,0.0,0.2680965147453083,0.025193588352203422,1.0848536352326712,0.004017857142857184,1.004453240969817
