accuracy,epoch,grad_norm,learning_rate,loss,step,eval_accuracy,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.3975,0.013404825737265416,1.6338375806808472,4.8333333333333334e-05,1.3558,100,0.8109375,1.2453657388687134,6.9874,91.594,1.431
0.8352678571428571,0.02680965147453083,9.379392623901367,4.666666666666667e-05,0.6322,200,0.8859375,0.34597882628440857,7.0652,90.585,1.415
0.8767857142857143,0.040214477211796246,4.305526256561279,4.5e-05,0.355,300,0.8921875,0.3382473289966583,7.09,90.268,1.41
0.8982142857142857,0.05361930294906166,4.5000081062316895,4.3333333333333334e-05,0.3036,400,0.9015625,0.3282987177371979,7.0903,90.264,1.41
0.8955357142857143,0.06702412868632708,6.7693891525268555,4.166666666666667e-05,0.3174,500,0.90625,0.3167431056499481,7.1532,89.471,1.398
0.903125,0.08042895442359249,8.803895950317383,4e-05,0.2914,600,0.896875,0.3238285183906555,7.1107,90.006,1.406
0.8991071428571429,0.0938337801608579,5.758071422576904,3.8333333333333334e-05,0.3101,700,0.9125,0.30836403369903564,7.0928,90.232,1.41
0.8955357142857143,0.10723860589812333,3.570847749710083,3.6666666666666666e-05,0.3165,800,0.9078125,0.30073365569114685,7.1016,90.121,1.408
0.9053571428571429,0.12064343163538874,11.13045597076416,3.5e-05,0.2881,900,0.903125,0.30756253004074097,7.1023,90.112,1.408
0.90625,0.13404825737265416,4.333178997039795,3.3333333333333335e-05,0.2862,1000,0.9015625,0.30289092659950256,7.131,89.749,1.402
0.9035714285714286,0.14745308310991956,4.352934837341309,3.1666666666666666e-05,0.3049,1100,0.9125,0.29233694076538086,7.1094,90.022,1.407
0.9,0.16085790884718498,4.977885723114014,3e-05,0.3012,1200,0.909375,0.29186898469924927,7.1047,90.081,1.408
0.9008928571428572,0.1742627345844504,5.869847297668457,2.8333333333333335e-05,0.3201,1300,0.903125,0.2991272807121277,7.089,90.281,1.411
0.9071428571428571,0.1876675603217158,3.367154121398926,2.6666666666666667e-05,0.2931,1400,0.9078125,0.29185348749160767,7.0889,90.282,1.411
0.9017857142857143,0.20107238605898123,7.6566667556762695,2.5e-05,0.3017,1500,0.9015625,0.29865989089012146,7.1124,89.984,1.406
0.9013392857142857,0.21447721179624665,1.9435594081878662,2.3333333333333336e-05,0.3099,1600,0.90625,0.29265356063842773,7.0947,90.208,1.41
0.9111607142857143,0.22788203753351208,1.5318334102630615,2.1666666666666667e-05,0.2593,1700,0.9125,0.2974330484867096,7.0917,90.247,1.41
0.9111607142857143,0.24128686327077747,6.725443363189697,2e-05,0.2826,1800,0.9109375,0.2930838465690613,7.0967,90.183,1.409
0.9102678571428572,0.2546916890080429,4.692588806152344,1.8333333333333333e-05,0.2692,1900,0.9078125,0.2917642593383789,7.1325,89.73,1.402
0.9049107142857142,0.2680965147453083,0.4311041533946991,1.6666666666666667e-05,0.3197,2000,0.9125,0.29187774658203125,7.0993,90.15,1.409
0.9004464285714285,0.28150134048257375,1.7545552253723145,1.5e-05,0.2947,2100,0.9109375,0.2879861295223236,7.1073,90.048,1.407
0.9066964285714286,0.2949061662198391,4.176398277282715,1.3333333333333333e-05,0.2839,2200,0.9125,0.28642675280570984,7.0937,90.221,1.41
0.9111607142857143,0.30831099195710454,5.389363765716553,1.1666666666666668e-05,0.2539,2300,0.896875,0.2983618974685669,7.1006,90.133,1.408
0.9022321428571428,0.32171581769436997,4.3827033042907715,1e-05,0.2892,2400,0.9015625,0.29216140508651733,7.1036,90.095,1.408
0.9008928571428572,0.3351206434316354,5.83536958694458,8.333333333333334e-06,0.2671,2500,0.915625,0.28779658675193787,7.1,90.141,1.408
0.9165178571428572,0.3485254691689008,4.927306652069092,6.666666666666667e-06,0.2542,2600,0.9125,0.28705182671546936,7.1457,89.564,1.399
0.9133928571428571,0.36193029490616624,7.3292131423950195,5e-06,0.2574,2700,0.9140625,0.28923743963241577,7.1379,89.662,1.401
0.9133928571428571,0.3753351206434316,3.2643189430236816,3.3333333333333333e-06,0.256,2800,0.915625,0.28502845764160156,7.0961,90.19,1.409
0.9107142857142857,0.38873994638069703,3.423065423965454,1.6666666666666667e-06,0.2623,2900,0.9140625,0.2871931493282318,7.0869,90.308,1.411
0.9147321428571429,0.40214477211796246,1.4779313802719116,0.0,0.2497,3000,0.9140625,0.2867598533630371,7.0895,90.274,1.411
0.91125,0.4155495978552279,3.162044048309326,1.125e-05,0.2794,3100,0.9109375,0.283298522233963,7.0203,91.164,1.424
0.909375,0.4289544235924933,2.9851672649383545,1e-05,0.2665,3200,0.915625,0.2859415113925934,7.0965,90.186,1.409
0.9183035714285714,0.44235924932975873,3.4944753646850586,8.75e-06,0.2375,3300,0.9125,0.28933435678482056,7.0961,90.19,1.409
0.9245535714285714,0.45576407506702415,0.5362026691436768,7.5e-06,0.2276,3400,0.9171875,0.2916295528411865,7.1043,90.086,1.408
0.9089285714285714,0.4691689008042895,4.183387756347656,6.25e-06,0.2692,3500,0.9140625,0.289262592792511,7.1223,89.859,1.404
0.9129464285714286,0.48257372654155495,6.8621506690979,5e-06,0.2801,3600,0.915625,0.28861308097839355,7.1114,89.996,1.406
0.9183035714285714,0.4959785522788204,6.499365329742432,3.75e-06,0.2512,3700,0.9171875,0.28733453154563904,7.1224,89.857,1.404
0.921875,0.5093833780160858,4.662893295288086,2.5e-06,0.2385,3800,0.9171875,0.2869744300842285,7.0979,90.167,1.409
0.9098214285714286,0.5227882037533512,3.3980448246002197,1.25e-06,0.2722,3900,0.91875,0.28782421350479126,7.106,90.064,1.407
