loss,grad_norm,learning_rate,accuracy,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.3727,1.414793610572815,4.75e-05,0.338125,0.013404825737265416,100,1.3412832021713257,0.671875,6.9564,92.001,1.438
1.2822,2.289045810699463,4.5e-05,0.6464285714285715,0.02680965147453083,200,1.1608097553253174,0.878125,6.9886,91.578,1.431
0.8897,1.6660741567611694,4.25e-05,0.8526785714285714,0.040214477211796246,300,0.5312544703483582,0.878125,7.0003,91.424,1.429
0.4448,1.2290819883346558,4e-05,0.8825892857142857,0.05361930294906166,400,0.34904995560646057,0.89375,6.9799,91.692,1.433
0.3547,1.9335963726043701,3.7500000000000003e-05,0.8870535714285714,0.06702412868632708,500,0.3282702565193176,0.896875,7.0036,91.381,1.428
0.346,1.5838725566864014,3.5e-05,0.8933035714285714,0.08042895442359249,600,0.32533296942710876,0.9015625,7.0129,91.26,1.426
0.3218,1.9275033473968506,3.2500000000000004e-05,0.8941964285714286,0.0938337801608579,700,0.32874345779418945,0.896875,7.0357,90.965,1.421
0.3486,1.7460700273513794,3e-05,0.8839285714285714,0.10723860589812333,800,0.3167684078216553,0.9046875,6.9757,91.747,1.434
0.3425,3.3151283264160156,2.7500000000000004e-05,0.8933035714285714,0.12064343163538874,900,0.3196908235549927,0.9015625,7.0015,91.41,1.428
0.3257,2.134500503540039,2.5e-05,0.896875,0.13404825737265416,1000,0.31726503372192383,0.9015625,7.0164,91.215,1.425
0.324,2.2751224040985107,2.25e-05,0.8959821428571428,0.14745308310991956,1100,0.3150290250778198,0.90625,7.0298,91.041,1.423
0.3304,2.9887478351593018,2e-05,0.8977678571428571,0.16085790884718498,1200,0.3163074553012848,0.9078125,7.0141,91.245,1.426
0.345,1.4579501152038574,1.75e-05,0.8941964285714286,0.1742627345844504,1300,0.3171229660511017,0.9046875,7.0093,91.307,1.427
0.3097,1.7368712425231934,1.5e-05,0.9022321428571428,0.1876675603217158,1400,0.3167724609375,0.9046875,7.0247,91.108,1.424
0.322,3.6601459980010986,1.25e-05,0.9022321428571428,0.20107238605898123,1500,0.3165251910686493,0.9046875,7.0085,91.317,1.427
0.3473,2.1243736743927,1e-05,0.89375,0.21447721179624665,1600,0.31374257802963257,0.903125,7.0393,90.918,1.421
0.2921,0.8380188941955566,7.5e-06,0.9049107142857142,0.22788203753351208,1700,0.3165908753871918,0.90625,7.0062,91.347,1.427
0.3061,3.125807762145996,5e-06,0.9008928571428572,0.24128686327077747,1800,0.3174777626991272,0.909375,7.0476,90.812,1.419
0.299,2.174567222595215,2.5e-06,0.9053571428571429,0.2546916890080429,1900,0.31763386726379395,0.909375,7.0325,91.006,1.422
0.3528,0.35327649116516113,0.0,0.8933035714285714,0.2680965147453083,2000,0.317412793636322,0.9109375,7.0122,91.27,1.426
